model_type,pretrained_seed,fold,downstream_seed,LR,weight_decay,best_epoch,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_pos_lr_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0005,0.1,4,0.13940255343914032,0.8020814657211304,0.6231945753097534,0.8020814657211304,0.6200084686279297,0.598802387714386,0.6555495262145996,0.22287631034851074,0.6850967407226562,2.056074857711792,0.8333333134651184,0.8333333134651184,0.4672897160053253,0.4672897160053253,0.7727272510528564,0.6555495262145996
Soft_Clip_with_Frozen_Teacher,0,3,0,0.0005,1.0,12,0.11453624069690704,0.775108814239502,0.6034409403800964,0.775108814239502,0.5851741433143616,0.6631016135215759,0.6313073635101318,0.1550893485546112,0.6382502913475037,1.4164071083068848,0.7749999761581421,0.7749999761581421,0.5794392228126526,0.5794392228126526,0.5909090638160706,0.6313073635101318
Soft_Clip_with_Frozen_Teacher,0,3,0,5e-05,0.0,58,0.11785225570201874,0.7755150198936462,0.6019541025161743,0.7755150198936462,0.5925021171569824,0.6875,0.6835400462150574,0.16948001086711884,0.6399049162864685,1.4284309148788452,0.7764706015586853,0.7764706015586853,0.6168224215507507,0.6168224215507507,0.5681818127632141,0.6835400462150574
Soft_Clip_with_Frozen_Teacher,0,3,0,5e-05,0.01,61,0.08657533675432205,0.8146197199821472,0.6622769832611084,0.8146197199821472,0.6619583964347839,0.7599999904632568,0.630195140838623,0.30261898040771484,0.6415791511535645,1.8383727073669434,0.8172042965888977,0.8172042965888977,0.7102803587913513,0.7102803587913513,0.6136363744735718,0.630195140838623
Soft_Clip_with_Frozen_Teacher,0,3,0,5e-05,0.1,48,0.12488362938165665,0.8006245493888855,0.6096006631851196,0.8006245493888855,0.614061176776886,0.5131579041481018,0.6560538411140442,0.2266349345445633,0.8133108615875244,2.6728971004486084,0.8666666746139526,0.8666666746139526,0.3644859790802002,0.3644859790802002,0.8636363744735718,0.6560538411140442
Soft_Clip_with_Frozen_Teacher,0,3,0,5e-05,1.0,68,0.14428749680519104,0.7678375840187073,0.6081138253211975,0.7678375840187073,0.6291418671607971,0.7926267385482788,0.6718379855155945,0.2638925313949585,0.5283606052398682,1.473520278930664,0.7818182110786438,0.7818182110786438,0.8037382960319519,0.8037382960319519,0.4545454680919647,0.6718379855155945
Soft_Clip_with_Frozen_Teacher,0,4,0,0.001,0.0,40,0.05465558543801308,0.7405527234077454,0.6606718897819519,0.7405527234077454,0.6307606101036072,0.6023166179656982,0.6400792598724365,0.2615211606025696,0.6190469264984131,2.1114649772644043,0.7647058963775635,0.7647058963775635,0.4968152940273285,0.4968152940273285,0.7647058963775635,0.6400792598724365
Soft_Clip_with_Frozen_Teacher,0,4,0,0.001,0.01,16,0.033141568303108215,0.7120378613471985,0.6298239231109619,0.7120378613471985,0.596134603023529,0.718100905418396,0.6635863184928894,0.20403748750686646,0.6029440760612488,1.332397699356079,0.6722221970558167,0.6722221970558167,0.7707006335258484,0.7707006335258484,0.4215686321258545,0.6635863184928894
Soft_Clip_with_Frozen_Teacher,0,4,0,0.001,0.1,7,0.05291489511728287,0.7403672337532043,0.674066424369812,0.7403672337532043,0.6476520299911499,0.6570397019386292,0.6444153785705566,0.2893486022949219,0.6161144375801086,2.0386557579040527,0.7583333253860474,0.7583333253860474,0.5796178579330444,0.5796178579330444,0.7156862616539001,0.6444153785705566
Soft_Clip_with_Frozen_Teacher,0,4,0,0.001,1.0,22,0.04705165699124336,0.7014992833137512,0.6056575775146484,0.7014992833137512,0.6067191362380981,0.6411150097846985,0.6697177886962891,0.20857180655002594,0.5450859069824219,1.5729131698608398,0.7076923251152039,0.7076923251152039,0.5859872698783875,0.5859872698783875,0.6274510025978088,0.6697177886962891
Soft_Clip_with_Frozen_Teacher,0,4,0,0.0001,0.0,34,0.1294431835412979,0.7276626825332642,0.6401273608207703,0.7276626825332642,0.6184900999069214,0.633093535900116,0.7022926807403564,0.23207569122314453,0.7089166641235352,1.7324841022491455,0.7272727489471436,0.7272727489471436,0.5605095624923706,0.5605095624923706,0.6764705777168274,0.7022926807403564
Soft_Clip_with_Frozen_Teacher,0,4,0,0.0001,0.01,33,0.1392352133989334,0.6897957921028137,0.5922942161560059,0.6897957921028137,0.5755589008331299,0.6890243887901306,0.729312539100647,0.15589280426502228,0.4774424731731415,1.2657588720321655,0.6608186960220337,0.6608186960220337,0.7197452187538147,0.7197452187538147,0.4313725531101227,0.729312539100647
Soft_Clip_with_Frozen_Teacher,0,4,0,0.0001,0.1,45,0.13087694346904755,0.6974985599517822,0.6094042658805847,0.6974985599517822,0.5971337556838989,0.687697172164917,0.7216668725013733,0.1953316032886505,0.5888116955757141,1.3885350227355957,0.6812499761581421,0.6812499761581421,0.6942675113677979,0.6942675113677979,0.5,0.7216668725013733
Soft_Clip_with_Frozen_Teacher,0,4,0,0.0001,1.0,31,0.11943067610263824,0.6979710459709167,0.6050330996513367,0.6979710459709167,0.5922630429267883,0.6245614290237427,0.7156733274459839,0.1803295612335205,0.6430615186691284,1.4826065301895142,0.6953125,0.6953125,0.5668789744377136,0.5668789744377136,0.6176470518112183,0.7156733274459839
Soft_Clip_with_Frozen_Teacher,0,4,0,1e-05,0.0,277,0.16348125040531158,0.7257763147354126,0.6145872473716736,0.7257763147354126,0.5893281102180481,0.6093189716339111,0.7350927591323853,0.17487500607967377,0.6855507493019104,1.4925116300582886,0.6967213153839111,0.6967213153839111,0.5414012670516968,0.5414012670516968,0.6372548937797546,0.7350927591323853
Soft_Clip_with_Frozen_Teacher,0,4,0,1e-05,0.01,231,0.1270810067653656,0.6896746754646301,0.5851130485534668,0.6896746754646301,0.5677220225334167,0.6749225854873657,0.7475709915161133,0.13794758915901184,0.5807358026504517,1.2423734664916992,0.6566265225410461,0.6566265225410461,0.6942675113677979,0.6942675113677979,0.44117647409439087,0.7475709915161133
Soft_Clip_with_Frozen_Teacher,0,4,0,1e-05,0.1,366,0.14018996059894562,0.6963338851928711,0.6127763390541077,0.6963338851928711,0.587579607963562,0.675159215927124,0.7466341257095337,0.17515923082828522,0.6078754663467407,1.350318431854248,0.675159215927124,0.675159215927124,0.675159215927124,0.675159215927124,0.5,0.7466341257095337
Soft_Clip_with_Frozen_Teacher,0,4,0,1e-05,1.0,233,0.15086445212364197,0.6978863477706909,0.5866116881370544,0.6978863477706909,0.5800237059593201,0.5830258131027222,0.7712472677230835,0.15752963721752167,0.7093912363052368,1.4664239883422852,0.6929824352264404,0.6929824352264404,0.5031847357749939,0.5031847357749939,0.656862735748291,0.7712472677230835
Soft_Clip_with_Frozen_Teacher,0,4,0,0.0005,0.0,4,0.12527427077293396,0.6851595044136047,0.6007243394851685,0.6851595044136047,0.5865805149078369,0.7065868377685547,0.7200649976730347,0.18188898265361786,0.535569965839386,1.2993630170822144,0.6666666865348816,0.6666666865348816,0.7515923380851746,0.7515923380851746,0.4215686321258545,0.7200649976730347
