feature,roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100
GNN_Vanilla_Clip_with_VAE_seed0_second_fc,0.6529212756632564,0.7120048113551378,0.6334308453323718,0.6856930877724524,0.624297740368212,0.24712423414559745,0.6733773340091724,0.5752181467272515,0.704370384609287,1.6282847175737816,0.03080871976165169
GNN_Vanilla_Clip_with_VAE_seed1_GNN,0.6574124147674252,0.7118942245091355,0.6359836736152941,0.6904967881271118,0.6208272771993775,0.24492849218310886,0.691410347238899,0.5502442071598559,0.699432690203559,1.5918968246386687,0.02765736888924178
GNN_Vanilla_Clip_with_VAE_seed1_first_fc,0.6745964006855304,0.7330422435805878,0.6346261858633498,0.6860695986996368,0.6237281919949619,0.24654064201515258,0.6728235505840326,0.574632833405891,0.7044409389890073,1.6123317660605039,0.018498176539985305
GNN_Vanilla_Clip_with_VAE_seed1_second_fc,0.6568122103591005,0.7216444268968193,0.618328085487726,0.6574195639941651,0.6170677856270583,0.23096862687953135,0.6181158898145332,0.6160196814395834,0.7078345972946606,1.6680343618798485,0.028309186782437667
GNN_Vanilla_Clip_with_VAE_seed2_GNN,0.6768581101547277,0.719443294615822,0.6542088692833391,0.701182400378714,0.6435428751540884,0.28909799171586076,0.6912806981064975,0.5958050522016793,0.7199993965677064,1.7640645730731401,0.014728111164428128
GNN_Vanilla_Clip_with_VAE_seed2_first_fc,0.6846458954834485,0.7276779507030902,0.6484040904976875,0.6950003636183331,0.6402142574334438,0.27944879730865485,0.6772195350391946,0.6032089798276928,0.7213559470953146,1.7748406592362878,0.011605917026810096
GNN_Vanilla_Clip_with_VAE_seed2_second_fc,0.6489583577307708,0.7092818040627376,0.6116445024850643,0.6576984329123206,0.6044524336765847,0.20995347356978175,0.6367657914649585,0.5721390758882109,0.6930465644818972,1.535117639891258,0.022687480211158535
GNN_Vanilla_Clip_without_VAE_seed0_GNN,0.6833939287074037,0.7318952501361635,0.6446411305559779,0.6898979994576409,0.6349557730403829,0.27242554265508,0.6756865406411243,0.5942250054396413,0.7163542105642893,1.7235690060793476,0.030497932193196874
GNN_Vanilla_Clip_without_VAE_seed0_first_fc,0.6868133432742595,0.7371208288501218,0.6517093290353374,0.7010724558882956,0.6404014393889684,0.2803113947996108,0.6889688175255485,0.5918340612523884,0.7173070059072592,1.7192492401791986,0.028997096016403084
GNN_Vanilla_Clip_without_VAE_seed0_second_fc,0.6394999141300101,0.7009849997409556,0.6268384070374671,0.6764905549218696,0.6150854249760332,0.23160069316818088,0.6665596633450616,0.5636111866070049,0.6958980249208228,1.5620387694817208,0.022613480607331798
GNN_Vanilla_Clip_without_VAE_seed1_GNN,0.6805426179563959,0.7337926296963471,0.6372616964638708,0.6786942814653569,0.6301600646976164,0.2592261736359508,0.6505415603338394,0.6097785690613935,0.7165448724789578,1.7255017972912763,0.03284823172280195
GNN_Vanilla_Clip_without_VAE_seed1_first_fc,0.706967133851834,0.7541382716174776,0.6538520147211134,0.6986994792548558,0.6454304075881246,0.29022961117631974,0.6782833635334239,0.6125774516428255,0.726094286614098,1.817744904278449,0.025458658573599885
GNN_Vanilla_Clip_without_VAE_seed1_second_fc,0.630645718727983,0.6970112758808203,0.6087947974809437,0.6639214289702299,0.5959622569883605,0.19240477813298112,0.6553567109426524,0.5365678030340686,0.6788813346993189,1.4418669529067787,0.03041915783227445
GNN_Vanilla_Clip_without_VAE_seed2_GNN,0.6682070315714713,0.7163412758312474,0.6362229836019659,0.6867464341896465,0.6231294672572438,0.24965287259832344,0.6802783924924556,0.5659805420220322,0.7028453724976391,1.6067902995808199,0.02116591582550227
GNN_Vanilla_Clip_without_VAE_seed2_first_fc,0.6843486972232862,0.7273648133763981,0.6523356159427621,0.7015202189937162,0.6369459677506664,0.27785762904380684,0.69635490511261,0.5775370303887228,0.7150083342402085,1.7077100823492088,0.01229814823261309
GNN_Vanilla_Clip_without_VAE_seed2_second_fc,0.6671358525939348,0.7327109384023335,0.6255374609099761,0.6818730637715339,0.6143116188693672,0.2287285115412761,0.6772361935566066,0.5513870441821278,0.6940333005557571,1.5504913835595604,0.04053630769011202
MoLFormer-XL-both-10pct,0.6751081134043498,0.7371975004460458,0.6363721129792903,0.6842911246549928,0.6265278783403829,0.2527005187238706,0.6628106740111819,0.590245082669584,0.7123338320243394,1.7304350847544836,0.03353326273379836
