roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score,feature,seed
0.7518665158371041,0.7858917620832285,0.6984126984126984,0.7443946188340808,0.6872737556561086,0.3858429306096079,0.7980769230769231,0.5764705882352941,0.6974789915966386,1.8843482905982905,0.0673076923076923,1,678,189,0.4890357424876157,l2,0.01,liblinear,0.6684989992738132,ECFP_1024_2,2
0.6745714285714286,0.7301941419271248,0.6166666666666667,0.6714285714285714,0.6057142857142856,0.2114285714285714,0.6714285714285714,0.54,0.6714285714285714,1.4596273291925466,0.0428571428571428,2,747,120,0.5136557104340814,l2,0.1,liblinear,0.696614366237616,ECFP_1024_2,2
0.684238683127572,0.7341062968436776,0.6488888888888888,0.694980694980695,0.6444444444444444,0.2845426999023345,0.6666666666666666,0.6222222222222222,0.7258064516129032,1.7647058823529411,0.037037037037037,3,642,225,0.5022085191429861,l2,0.1,liblinear,0.7018020792977386,ECFP_1024_2,2
0.6355698529411764,0.6968727763940186,0.6506024096385542,0.7314814814814815,0.6138174019607843,0.2388771665796728,0.7745098039215687,0.453125,0.6929824561403509,1.41624649859944,0.0196078431372549,4,701,166,0.4934059005875483,l2,0.01,liblinear,0.7084834393787471,ECFP_1024_2,2
0.7267281105990783,0.8058275792116171,0.6706586826347305,0.7317073170731707,0.6555299539170507,0.306617636689352,0.7142857142857143,0.5967741935483871,0.75,1.7714285714285716,0.0952380952380952,5,700,167,0.5085833146175218,l2,0.01,liblinear,0.6543605019345209,ECFP_1024_2,2
0.6487499999999999,0.6927643835546766,0.6615384615384615,0.7283950617283951,0.63875,0.2797470002454744,0.7375,0.54,0.7195121951219512,1.6032608695652175,0.025,1,737,130,0.489208211203482,l2,0.1,lbfgs,0.7158866071624619,ECFP_1024_2,4
0.7480438184663537,0.7837197251664711,0.7155172413793104,0.7724137931034483,0.6943661971830986,0.3941355959805259,0.7887323943661971,0.6,0.7567567567567568,1.9718309859154928,0.0,2,751,116,0.4907008063793833,l2,0.1,liblinear,0.6915962793665561,ECFP_1024_2,4
0.6524509803921568,0.6751215773504318,0.6013986013986014,0.625,0.5997549019607843,0.1998628147619173,0.6333333333333333,0.5661764705882353,0.6168831168831169,1.4598870056497173,0.0533333333333333,3,581,286,0.508700672578529,l2,0.1,liblinear,0.7134322238862545,ECFP_1024_2,4
0.7424749163879599,0.8735648598112794,0.6766467065868264,0.7522935779816514,0.6545986622073579,0.2944948604339779,0.7130434782608696,0.5961538461538461,0.7961165048543689,1.765631469979296,0.2782608695652174,4,700,167,0.5115831189289949,l2,0.1,liblinear,0.6786576280039422,ECFP_1024_2,4
0.7263235294117647,0.7617058514761803,0.6785714285714286,0.7378640776699029,0.6594117647058824,0.324306791907984,0.76,0.5588235294117647,0.7169811320754716,1.7226666666666668,0.06,5,699,168,0.5239148856467369,l2,0.1,liblinear,0.6783723812613119,ECFP_1024_2,4
