feature,pairwise_accuracy,both_correct_rate,n_pairs_dist1,pairwise_acc_dist1,both_correct_dist1,n_pairs_dist2,pairwise_acc_dist2,both_correct_dist2,per_drug_accuracy,per_drug_balanced_accuracy,per_drug_f1_macro,per_drug_f1_weighted,per_drug_mae,per_drug_adjacent_accuracy,per_drug_roc_auc_macro_ovr,per_drug_roc_auc_weighted_ovr
GNN_Soft_Clip_with_Teacher_with_centering_seed0_GNN,0.5833333333333334,0.3333333333333333,7.0,0.7142857142857143,0.5714285714285714,5.0,0.4,0.0,0.6153846153846154,0.4825396825396825,0.4326375711574951,0.5678003211210043,0.5,0.8846153846153847,0.48805156831472624,0.5494111152005888
GNN_Soft_Clip_with_Teacher_with_centering_seed0_first_fc,0.55,0.09999999999999995,7.0,0.5714285714285714,0.17142857142857143,5.0,0.52,0.0,0.45384615384615384,0.36380952380952375,0.3403588681849552,0.4578006051919095,0.676923076923077,0.8692307692307691,0.5686097820308347,0.6010857563489143
GNN_Soft_Clip_with_Teacher_with_centering_seed0_second_fc,0.5166666666666667,0.1833333333333333,7.0,0.5428571428571428,0.3142857142857142,5.0,0.4800000000000001,0.0,0.4769230769230769,0.40269841269841267,0.41658956774575434,0.48713115770691057,0.5615384615384615,0.9615384615384615,0.6131947292473608,0.5972948104527052
GNN_Soft_Clip_with_Teacher_with_centering_seed1_GNN,0.5833333333333334,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.6,0.0,0.4615384615384615,0.3428571428571428,0.3111111111111111,0.4358974358974358,0.6153846153846154,0.9230769230769231,0.4216450216450216,0.4825174825174824
GNN_Soft_Clip_with_Teacher_with_centering_seed1_first_fc,0.4666666666666666,0.0,7.0,0.4285714285714285,0.0,5.0,0.5199999999999999,0.0,0.3461538461538461,0.2304761904761905,0.2238489469862019,0.34399195575666164,0.7461538461538462,0.9076923076923078,0.46066378066378066,0.4874125874125874
GNN_Soft_Clip_with_Teacher_with_centering_seed1_second_fc,0.5833333333333334,0.26666666666666666,7.0,0.8571428571428571,0.45714285714285713,5.0,0.2,0.0,0.5615384615384615,0.4453968253968254,0.4184865900383142,0.5384062776304155,0.5692307692307692,0.8692307692307691,0.6715322396901344,0.7037725432462276
GNN_Soft_Clip_with_Teacher_with_centering_seed2_GNN,0.5,0.1666666666666666,7.0,0.7142857142857143,0.2857142857142857,5.0,0.2,0.0,0.4615384615384615,0.3428571428571428,0.3111111111111111,0.4358974358974358,0.6153846153846154,0.9230769230769231,0.3648458266879319,0.4297938903202061
GNN_Soft_Clip_with_Teacher_with_centering_seed2_first_fc,0.5833333333333334,0.1666666666666666,7.0,0.8571428571428571,0.2857142857142857,5.0,0.2,0.0,0.5384615384615384,0.43809523809523815,0.3897243107769423,0.5125795257374205,0.5769230769230769,0.8846153846153847,0.5113028784081416,0.5438903202061097
GNN_Soft_Clip_with_Teacher_with_centering_seed2_second_fc,0.55,0.13333333333333328,7.0,0.6857142857142857,0.22857142857142856,5.0,0.36,0.0,0.4076923076923077,0.3473015873015873,0.2978783512727067,0.39557980793678726,0.6692307692307693,0.9230769230769231,0.5840461000987316,0.5721199852778799
GNN_Vanilla_Clip_with_VAE_seed0_GNN,0.45,0.0,7.0,0.4285714285714285,0.0,5.0,0.48,0.0,0.4230769230769231,0.2952380952380952,0.2727777777777778,0.4003205128205128,0.6461538461538462,0.9307692307692308,0.4079327105642895,0.47453073242546917
GNN_Vanilla_Clip_with_VAE_seed0_first_fc,0.55,0.06666666666666664,7.0,0.5142857142857142,0.11428571428571424,5.0,0.6,0.0,0.4769230769230769,0.3588888888888888,0.33278901030193314,0.4515390487503293,0.623076923076923,0.9000000000000001,0.49668717247664623,0.5129186602870813
GNN_Vanilla_Clip_with_VAE_seed0_second_fc,0.5,0.0,7.0,0.5714285714285714,0.0,5.0,0.4,0.0,0.3461538461538461,0.3476190476190475,0.3259259259259259,0.3538461538461538,0.8076923076923077,0.8461538461538461,0.580703653072074,0.5740706661759293
GNN_Vanilla_Clip_with_VAE_seed1_GNN,0.5833333333333334,0.06666666666666664,7.0,0.7142857142857143,0.11428571428571424,5.0,0.4,0.0,0.48461538461538467,0.3746031746031745,0.38259856630824374,0.47552315963606295,0.5923076923076922,0.9230769230769231,0.4473065238854712,0.5184946632315054
GNN_Vanilla_Clip_with_VAE_seed1_first_fc,0.5,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.4,0.0,0.5384615384615384,0.423015873015873,0.4269688644688645,0.52343089602705,0.5769230769230769,0.8846153846153847,0.42451773372826,0.4846337872653662
GNN_Vanilla_Clip_with_VAE_seed1_second_fc,0.6833333333333333,0.13333333333333328,7.0,0.7142857142857143,0.22857142857142856,5.0,0.64,0.0,0.5923076923076923,0.5538095238095238,0.5476470230493218,0.5958115447770621,0.5230769230769231,0.8846153846153847,0.6765033796612744,0.6817445712182554
GNN_Vanilla_Clip_with_VAE_seed2_GNN,0.6333333333333333,0.0833333333333333,7.0,0.8,0.1428571428571428,5.0,0.4,0.0,0.4461538461538462,0.339047619047619,0.3054110371714727,0.4235128050010083,0.6307692307692307,0.9230769230769231,0.37693400167084384,0.4607287449392713
GNN_Vanilla_Clip_with_VAE_seed2_first_fc,0.4166666666666667,0.0833333333333333,7.0,0.37142857142857133,0.1428571428571428,5.0,0.48,0.0,0.48461538461538456,0.3815873015873016,0.35129842486164325,0.47126436781609193,0.6461538461538462,0.8692307692307691,0.42420862762968026,0.48989694516010307
